category_name,resource_name,formats,department,division,tags,redistribution_allowed,commercial_use_allowed,provider,tel,description,comment,year,month,day,repeat_rule_frequency,repeat_rule_interval,repeat_rule_description
鉱工業・建設業,鳥取県鉱工業生産動態調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,月報、年報、長期時系列、鉱工業指数、生産、出荷、在庫等,"",2013,7,,monthly,,毎月
鉱工業・建設業,工業統計調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年報、事業所数、従業者数、製造品出荷額、付加価値額等,"",2010,,,yearly,,毎年
財政,普通会計決算（市町村分）,PDF,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別普通会計歳入歳出決算額、財政指標（経常収支比率、起債制限比率、公債費負担比率）、地方債現在高、債務負担行為額、積立金現在高、標準財政規模,"",2011,,,fiscal_yearly,,毎年度
財政,普通交付税（市町村分）,PDF,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別普通交付税交付額、臨時財政対策債発行可能額,"",2013,,,fiscal_yearly,,毎年度
財政,普通会計当初予算（市町村分）,PDF,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別当初予算（普通会計）における歳入歳出予算額,"",2013,,,fiscal_yearly,,毎年度
財政,公営企業会計決算（市町村分）,PDF,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,地方公営企業会計決算（収益的収支、資本的収支）,"",2011,,,fiscal_yearly,,毎年度
財政,特別交付税（市町村分）,PDF,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別特別交付税交付額,"",2012,,,fiscal_yearly,,毎年度
事業所・労働,経済センサス,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,事業所数、従業者数、産業別、事業所規模別、市町村別,"",2012,,,yearly,3,3年毎
事業所・労働,就業構造基本調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,就業状態、就業数、就業率等,"",2012,,,yearly,5,5年毎
事業所・労働,事業所・企業統計調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,事業所数、従業者数、産業別、事業所規模別、市町村別,"",2006,,,yearly,,毎年
事業所・労働,毎月勤労統計調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,月報、年報、現金給与総額、総実労働時間等　長期時系列,"",2013,6,,monthly,,毎月
住宅・家計・物価,小売物価統計調査（消費者物価指数）,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年度報、年報、月報、消費者物価指数,"",2013,7,,monthly,,毎月
住宅・家計・物価,全国消費実態調査,HTML,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,主要耐久消費財の所有状況,"",2009,,,yearly,5,5年毎
住宅・家計・物価,家計調査,XLS HTML,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年報、品目別消費支出、可処分所得、ランキング,"",2012,,,yearly,,毎年
住宅・家計・物価,住宅・土地統計調査,XLS PDF,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,総住宅数、総世帯数、住宅の種類、建て方、持ち家比率等,"",2008,,,yearly,5,5年毎
商業・観光,商業統計調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,事業所数、従業者数、年間商品販売額、売り場面積等,"",2007,,,,,
人口・世帯,住民基本台帳年報,XLS,地域振興部,地域振興課,統計,true,true,鳥取県,0857-26-7056,市町村別人口、世帯数等,"",2012,,,fiscal_yearly,,毎年度
人口・世帯,鳥取県人口移動調査,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,月報、年報、市町村別推計人口、推計人口、推計世帯数、出生数、死亡数、自然増加、社会増加、転入数、転出数等,"",2013,8,,monthly,,毎月
人口・世帯,国勢調査,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,人口、年齢構成別人口、年少人口、生産年齢人口、老年人口、有配偶率、核家族世帯、持ち家、民営の借家、町丁字等別人口及び世帯、長期時系列等,"",2010,,,yearly,5,5年毎
人口・世帯,鳥取県年齢別推計人口,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,年報、人口、市町村別、老年人口、生産年齢人口、年少人口、従属人口指数、老年化指数等,"",2012,4,,yearly,,毎年
総合統計,統計でみた鳥取県,XLS HTML,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,複合統計、順位、時系列,"",2013,,,yearly,,毎年
総合統計,鳥取県勢要覧,PDF,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,複合統計、都道府県別、市町村別、順位,"",2012,,,yearly,,毎年
総合統計,統計月報,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,月報、複合統計、時系列,"",2011,3,,monthly,,毎月
総合統計,鳥取県統計年鑑,"",地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,複合統計、時系列,"",2012,,,yearly,,毎年
総合統計,100の指標からみた鳥取県,PDF,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,複合統計、都道府県別、市町村別、ランキング、順位,"",2012,,,yearly,,毎年
農林水産業,まき網漁業と小型いかつり漁業の漁獲量,PDF,農林水産部,水産試験場,統計,true,true,鳥取県,0859-45-4500,アジ・サバ・イワシ類・ブリ類、スルメイカの漁獲量,"",2013,9,,yearly,,毎年
農林水産業,境漁港のベニズワイガニの漁獲量・漁獲金額,XLS,農林水産部,水産試験場,統計,true,true,鳥取県,0859-45-4500,境漁港のベニズワイの漁獲量と金額,"",2012,,,yearly,,毎年
農林水産業,ズワイガニの水揚げ状況,PDF,農林水産部,水産課,統計,true,true,鳥取県,0857-26-7313,漁獲状況、出漁隻数、漁獲量・金額の推移,"",2012,,,yearly,,毎年
農林水産業,漁業センサス,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,漁業経営体数、個人漁業経営体数、従事者数、漁船隻数等,"",2008,,,yearly,5,5年毎
農林水産業,鳥取県林業統計,PDF,農林水産部,森林・林業振興局,統計,true,true,鳥取県,0857-26-7301,林野面積・蓄積、造林等面積、林産物生産量等,"",2012,,,fiscal_yearly,,毎年度
農林水産業,鳥取県　農林水産業の概要,PDF,農林水産部,農政課,統計,true,true,鳥取県,0857-26-7257,自然的条件、農業の概要、農家及び農業従事者、農地とその利用、農業生産、農家経済、林業、水産業,"",2013,,,fiscal_yearly,,毎年度
農林水産業,漁港別漁船数,XLS,県土整備部,空港港湾課,統計,true,true,鳥取県,0857-26-7405,漁港別登録漁船数、漁港別利用漁船数,"",2006,,,yearly,,毎年
農林水産業,境港の年別まき網水揚量,HTML,農林水産部,水産試験場,統計,true,true,鳥取県,0859-45-4500,アジ・サバ・イワシ類・ブリ類の年別漁獲量,"",2012,,,yearly,,毎年
農林水産業,ハタハタの漁獲量・漁獲金額,XLS,農林水産部,水産試験場,統計,true,true,鳥取県,0859-45-4500,鳥取県のハタハタの漁獲量と金額,"",2010,,,monthly,,毎月
農林水産業,農林業センサス,XLS,地域振興部,統計課,統計,true,true,鳥取県,0857-26-7104,農家数、農家人口、総林家数等,"",2010,,,yearly,5,5年毎
その他,鳥取県男女共同参画意識調査,"",地域振興部,男女共同参画推進課,統計,true,true,鳥取県,0857-26-7075,男女の平等感、性別役割分担意識、家事分担状況等、男女共同参画に関する県民のかたの意識,"",2011,,,yearly,5,5年毎
その他,鳥取県男女共同参画マップ,PDF,地域振興部,男女共同参画推進課,統計,true,true,鳥取県,0857-26-7075,マップ、男女共同参画、県内の取組状況、推進体制、議会議員、審議会委員、役員,"",2012,,,fiscal_yearly,,毎年度
